"gene"
"ETS1-1"
"ETS1-2"
"ETS2-1"
"ETS2-2"
"NME1"
"Q0092"
"COX2"
"RDN18-1"
"RDN18-2"
"RDN25-1"
"RDN25-2"
"RDN37-1"
"RDN37-2"
"RDN5-1"
"RDN5-2"
"RUF21"
"SRG1"
"YAL016C-A"
"LDS1"
"POP5"
"BDH2"
"GDH3"
"TDA8"
"YAL064W"
"YAL064W-B"
"YAL065C"
"ADE1"
"YAR047C"
"YAR068W"
"IMD1"
"YAR075W"
"HTA2"
"LSM2"
"YBL028C"
"MOH1"
"KIP1"
"YBL111C"
"UGA2"
"HHT1"
"YBR012C"
"YBR012W-A"
"YBR012W-B"
"FIG1"
"YBR051W"
"YRO2"
"YBR056C-B"
"MNC1"
"NRG2"
"TIP1"
"HSP26"
"TKL2"
"CBP6"
"TPS1"
"ADH5"
"RTC2"
"YBR184W"
"NTC20"
"AIM4"
"YBR196C-B"
"YBR200W-A"
"AME1"
"SDS24"
"GPX2"
"DUT1"
"SRB6"
"POP4"
"PHO89"
"MAL33"
"MAL32"
"LEU2"
"HBN1"
"ATG22"
"GLK1"
"YCL041C"
"YCL042W"
"SPS22"
"YCL049C"
"CHA1"
"HMLALPHA2"
"YCR001W"
"MRPL32"
"CIT2"
"YCR018C-A"
"HTL1"
"HSP30"
"RIM1"
"EGO2"
"GIT1"
"APC11"
"ERP3"
"DIA3"
"YDL034W"
"BSC1"
"PRM7"
"STP4"
"UBC9"
"YDL068W"
"CBS1"
"RPP1A"
"RPS16B"
"YDL085C-A"
"NDE2"
"YDL094C"
"RPL41B"
"RPL35B"
"DMO2"
"YDL158C"
"UGX2"
"RPL41A"
"YDL185C-A"
"RPL35A"
"YDL196W"
"RTN2"
"OST4"
"HXT15"
"NTH1"
"CPP3"
"RRG1"
"RTR2"
"FMP16"
"TPS2"
"SED1"
"COX26"
"YDR169C-A"
"HSP42"
"CSN9"
"YDR209C"
"YDR210C-C"
"CPP2"
"YDR222W"
"YDR269C"
"PHM6"
"ZIP1"
"SRB7"
"DAD4"
"HXT7"
"HXT6"
"HXT3"
"SPC110"
"SEM1"
"CIN10"
"PDR15"
"DYN2"
"ECM11"
"RPS17B"
"ADA2"
"RPS18A"
"CMI8"
"MFA1"
"SDC1"
"RPL27B"
"SNM1"
"RPL37B"
"SPG3"
"SDH7"
"APA2"
"GIM4"
"YEL010W"
"GLC3"
"YEL020C-B"
"TIM9"
"UTR5"
"CYC7"
"TCA17"
"PRB1"
"CIN8"
"HXT13"
"DSF1"
"DLD3"
"YEL073C"
"YEL075C"
"NTF2"
"TIR1"
"SBH2"
"EDC2"
"RSM18"
"PIC2"
"GIP2"
"RPL34A"
"RRT13"
"YER067C-A"
"RGI1"
"SER3"
"YER084W"
"SHC1"
"RPS8B"
"SSA4"
"LSM4"
"RPL23B"
"YER137C"
"YER138W-A"
"YER145C-A"
"LSM5"
"SPI1"
"YER158C"
"YER165C-A"
"GRX4"
"HXT10"
"HSP12"
"SMX2"
"PAU5"
"RPL22B"
"YFL051C"
"ZNF1"
"THI5"
"COS4"
"YFL064C"
"YFL065C"
"YFL066C"
"YFL067W"
"GSY1"
"IGD1"
"RPL29"
"MIN10"
"YFR052C-A"
"HXK1"
"RPL24A"
"AGA2"
"YGL041C"
"YGL041C-B"
"DPC13"
"RIM8"
"OLE1"
"RPB9"
"MF(ALPHA)2"
"YGK1"
"YGL102C"
"RPL28"
"YGL108C"
"YGL109W"
"GPG1"
"RPL9A"
"AMS1"
"RCK1"
"YGL204C"
"MIG2"
"EMC4"
"TAN1"
"ZRT1"
"ADH4"
"VEL1"
"YGL258W-A"
"YPS5"
"YGL262W"
"YGR022C"
"MTL1"
"RPS25A"
"POP6"
"GSC2"
"RPL26B"
"YGR035C"
"NQM1"
"YGR068W-A"
"YGR073C"
"SMD1"
"PRP38"
"SLX9"
"PDC6"
"YGR121W-A"
"TPO2"
"YGR139W"
"SKN1"
"YGR161C-D"
"YGR201C"
"MVB12"
"SPG1"
"MPC3"
"LSC2"
"SOL4"
"MGA1"
"ENO1"
"GND2"
"EFG1"
"YGR290W"
"MAL12"
"RPS20"
"AIM17"
"WSC4"
"PAU13"
"YHL046W-A"
"ARN2"
"COS8"
"YHL049C"
"YHL050C"
"YHL050W-A"
"RPL27A"
"RPS27B"
"SLT2"
"VMA10"
"VMA22"
"PCL5"
"HXT4"
"AHT1"
"HXT5"
"ANS1"
"SPS100"
"RPL42B"
"YHR145C"
"SPO16"
"BAT1"
"IMD2"
"YHR219W"
"CMI7"
"TIR3"
"EMC5"
"APQ12"
"RPL34B"
"RGI2"
"RNR3"
"YIL089W"
"YIL100C-A"
"YIL100W"
"XBP1"
"YIL105W-A"
"OM45"
"TPM2"
"RPL40A"
"ATG44"
"AIM20"
"CSS1"
"HXT12"
"YIL171W"
"IST3"
"FLO11"
"YIR020W-A"
"IRC24"
"YIR036W-A"
"YPS6"
"RPC17"
"YJL047C-A"
"TDH1"
"LOG1"
"ZAP1"
"PSF2"
"YJL077W-B"
"PRY1"
"IML2"
"NCA3"
"DPI8"
"RPS21B"
"YAK1"
"ROQ1"
"YJL150W"
"INO1"
"ASG7"
"RFA3"
"PFD1"
"BUD19"
"RPL39"
"RPS22A"
"YJL213W"
"REE1"
"HXT9"
"LSO1"
"PEX39"
"LSM8"
"YJR023C"
"MDE1"
"YJR038C"
"ANB1"
"ISY1"
"BNA2"
"EAF6"
"STE18"
"YJR115W"
"RPS5"
"YJR128W"
"MCM22"
"BAT2"
"DAN1"
"DAN4"
"YJR154W"
"AAD10"
"MPH3"
"MMO1"
"TMA19"
"SRX1"
"UTP11"
"APE1"
"YKL107W"
"YKL111C"
"SRP21"
"YKL123W"
"NNR2"
"YKL156C-A"
"RPS27A"
"ELF1"
"PIR3"
"MRP49"
"ZRT3"
"MCH2"
"ECM9"
"YKR012C"
"PRY2"
"SET3"
"YKR033C"
"RPS21A"
"AIM29"
"YKR075C"
"ECM4"
"MRPL20"
"SRL3"
"RPL40B"
"PCC1"
"YLL019W-A"
"SSA2"
"IRC19"
"UBI4"
"SDH2"
"ATG10"
"AQY2"
"YLL053C"
"YLL066C"
"YLL066W-A"
"PAM18"
"POM34"
"TRX1"
"RPL22A"
"BUD28"
"MIM2"
"YLR108C"
"YPS1"
"YLR120W-A"
"YPS3"
"YLR122C"
"ZRT2"
"YLR146W-A"
"SMD3"
"GID11"
"RPS31"
"TFS1"
"RPL37A"
"YKE2"
"YLR235C"
"THI7"
"GSY2"
"TMA7"
"RPS30A"
"DPA10"
"CDA1"
"ATG39"
"RPL38"
"RPS25B"
"OPI9"
"RPS22B"
"SWC7"
"RPS29A"
"RPL31B"
"BLS1"
"YLR412C-A"
"YLR415C"
"YLR416C"
"LSM3"
"YLR466C-B"
"MRPL39"
"RPS17A"
"RPS18B"
"CGI121"
"PRM6"
"YML047W-A"
"GIM5"
"NGL3"
"MSC1"
"YML131W"
"YML133C"
"YML133W-A"
"AIM34"
"PLB1"
"ADI1"
"HXT2"
"YMR031W-A"
"YMR046W-A"
"YMR050C"
"SEN15"
"YMR075C-A"
"ISF1"
"YMR084W"
"YMR090W"
"SNO1"
"SNZ1"
"YPK2"
"PGM2"
"SPG4"
"MED11"
"ADE17"
"NCW1"
"PKR1"
"JLP2"
"RPS16A"
"MRPS8"
"ALD3"
"DDR48"
"YMR173W-A"
"PAI3"
"SIP18"
"YMR175W-A"
"YMR193C-A"
"RPL36A"
"ICY1"
"YMR196W"
"MRPL44"
"RPS10B"
"YMR230W-A"
"GAD1"
"GTO3"
"RSN1"
"URA10"
"SCS7"
"YMR272W-A"
"FET4"
"YMR320W"
"SNO4"
"ERR3"
"HEF3"
"YNL017C"
"YNL034W"
"NCE103"
"TOM7"
"YPT53"
"YNL103W-A"
"DBP2"
"MRP35"
"YSF3"
"YNL146C-A"
"YNL146W"
"LSM7"
"YGP1"
"RPL42A"
"YNL162W-A"
"RHO5"
"KAR1"
"YNL194C"
"YNL203C"
"YNL208W"
"PEX17"
"ADE12"
"SSU72"
"YNL234W"
"LAP3"
"RTC4"
"GIS2"
"PRM1"
"HCH1"
"THI12"
"CIT1"
"ATO2"
"YNR005C"
"EGO4"
"AGA1"
"BIO5"
"YNR071C"
"MAN2"
"YNR075C-A"
"COS10"
"YOL013W-A"
"YOL013W-B"
"YOL014W"
"CMK2"
"YOL038C-A"
"MDM20"
"ATG34"
"PHM7"
"YOL085W-A"
"ADH1"
"ZEO1"
"MCH4"
"RPL25"
"YOL131W"
"ZPS1"
"HPF1"
"HXT11"
"YOL162W"
"AAD15"
"YOR008W-B"
"TIR4"
"TIR2"
"HSP10"
"HMS1"
"RPS7A"
"CRC1"
"RGS2"
"GCY1"
"PNS1"
"YOR161W-A"
"YOR161W-B"
"RPS28A"
"DCS2"
"RPS30B"
"YOR186C-A"
"YOR192C-C"
"SLK19"
"WTM1"
"RPL33B"
"RBL2"
"CAF20"
"YOR277C"
"YOR293C-A"
"RPS10A"
"RPL20B"
"HSH49"
"YOR338W"
"PUT4"
"ALD4"
"GDH1"
"FIT2"
"FIT3"
"FRE5"
"YOR387C"
"HSP33"
"YOR392W"
"CIP1"
"HST2"
"ECM23"
"SKS1"
"MET31"
"MFM1"
"VPS28"
"RPL21B"
"CAR1"
"ODC1"
"YPL142C"
"RPL33A"
"POC4"
"PEP4"
"YPL185W"
"UIP4"
"GRE1"
"USV1"
"YPL247C"
"ACM1"
"YPL277C"
"YPL278C"
"HSP32"
"REC8"
"GLN1"
"SPO24"
"MCM16"
"NHP6A"
"YPR053C"
"YPR077C"
"YPR078C"
"RDS3"
"YPR108W-A"
"RRG8"
"RRP15"
"TPO3"
"TDA6"
"YPR158W-B"
"YPR160C-A"
"GPH1"
"YPR160W-A"
"GDB1"
"snR38"
"snR47"
"snR49"
"snR53"
"snR6"
"snR60"
"snR66"
"tA(AGC)L"
"tA(UGC)A"
"tC(GCA)G"
"tC(GCA)P1"
"tC(GCA)P2"
"tD(GUC)G1"
"tD(GUC)G2"
"tD(GUC)N"
"tD(GUC)O"
"tE(UUC)G1"
"tE(UUC)J"
"tE(UUC)K"
"tE(UUC)P"
"tF(GAA)F"
"tF(GAA)G"
"tF(GAA)P1"
"tG(CCC)O"
"tG(GCC)E"
"tG(GCC)G1"
"tG(GCC)G2"
"tG(GCC)P1"
"tH(GUG)E1"
"tH(GUG)M"
"tI(AAU)G"
"tI(UAU)L"
"tK(CUU)M"
"tK(CUU)P"
"tK(UUU)D"
"tK(UUU)K"
"tK(UUU)L"
"tK(UUU)P"
"tL(CAA)L"
"tL(CAA)N"
"tL(UAA)J"
"tM(CAU)E"
"tM(CAU)O1"
"tM(CAU)O2"
"tN(GUU)K"
"tN(GUU)N1"
"tP(UGG)N2"
"tP(UGG)O1"
"tP(UGG)Q"
"tQ(UUG)H"
"tR(ACG)D"
"tR(ACG)K"
"tR(UCU)E"
"tR(UCU)G2"
"tR(UCU)K"
"tR(UCU)M1"
"tS(AGA)J"
"tS(GCU)F"
"tS(UGA)Q2"
"tT(AGU)D"
"tT(AGU)I1"
"tT(AGU)N1"
"tT(CGU)K"
"tT(UGU)P"
"tV(AAC)E2"
"tV(AAC)G2"
"tV(AAC)G3"
"tV(AAC)J"
"tV(AAC)L"
"tV(AAC)O"
"tV(UAC)D"
"tW(CCA)G2"
"tW(CCA)P"
"tY(GUA)F1"
