gene,gen_1,gen_8,gen_12,gen_19
-,-0.993523887008931,0.30798576546358053,0.21103192754011352,0.06050240134332932
1-OCT,-1.324716441629958,0.7429996539031921,-0.6429483945916125,-0.4763667554916445
AAC1,-0.06717148677829118,0.13908604320414178,1.1190258612329969,1.0296226459457734
AAC3,-0.5004876346930222,,-1.0548238332927664,-1.5452719623314302
AAD10,,0.4770323177967888,,3.1315027379346985
AAD14|AAD4,-1.28306718044384,0.9102018288004055,0.9582642337607963,0.5864339946400928
AAD15|AAD16|AAD3,-1.2021833813623044,0.7726488602388116,0.30298906384160273,0.7661602401224918
AAD15|AAD3,-0.8268982758086044,0.0819266338095965,0.19975768439139202,0.22620579558769477
AAD4,-0.7354935602312419,0.31294894525708444,0.5519785829484155,1.1796504510694115
AAD6,-0.53636467413429,0.05142090427107334,-0.024896371810268318,0.7635733214476405
AAH1,-0.0597735900807236,0.39261384423342166,-2.01421050947786,-3.5509065694882795
AAP1,-0.036104185701969625,0.1504069766568147,-0.0997199710493208,-0.005608311781510032
AAR2,-1.2305359062115724,0.42880688144315776,0.5279326250251626,0.12624800898487637
AAT1,-0.09092626622244215,0.009988306954185067,-0.3271420980539544,-0.40101354954451185
AAT2,-0.08362265208092032,0.3288902675984397,0.027810204680202243,-0.6794645759980668
ABC1,-0.1370580696173624,0.3461550043198381,-0.2779461691576467,-0.26366704156476517
ABD1,-0.06490143796615053,0.3999180733880574,0.1912819154506897,0.10520398207079018
ABF1,-1.4315936309429511,-0.12772758986174085,-0.6376971025574718,-2.535166995632537
ABF2,-0.04903381931184055,0.09358221199258293,-0.032822048678591634,0.6056331218615875
ABM1,0.021476072592273465,0.857480433055934,0.9726662684556088,3.166604643150701
ABP1,-0.049541966023475506,0.002543839895770154,0.829212324193591,1.421879466814029
ABP140,-0.1903753632259765,0.2413652743628022,-0.41801265439292756,-0.5892584671758462
ABZ1,-0.3959977641421554,0.36302553708941065,0.5839414711788616,0.5795935231015764
ACA1,-0.6164672892161602,0.24605763030817643,0.3347780517156038,-0.040367310274370925
ACB1,0.14307333072251074,0.18289993180099273,-0.5015138471242218,-0.4902350132607168
ACC1,-0.20752271814770065,0.30375529708337384,-0.9953390568598965,-1.7296371255732108
ACE2,-0.31706520260592924,0.36672846194334313,-0.2278965913833124,0.47737894047101886
ACF2,-0.2888748315376812,0.765534746362977,0.20069222415509133,0.8361506547464381
ACF4,-0.8889725185565173,0.22316179416431595,1.1546043854283579,1.1614858543155184
ACH1,-0.3898000672703547,0.19657820946661375,0.4135646086225162,1.6312724010397524
ACN9,-0.1765421508800605,0.3891482282912857,0.6748410433124459,0.40091764266529345
ACO1,-0.02345941180503636,0.45838568588945633,0.7437747970349283,0.9576096643950393
